2026-08-21T06:47:33.867Z INFO  Moving: Chasme Right Arm.stl → Unsorted/
2026-08-21T06:47:33.879Z INFO  Moving: Chasme Right Leg Front.stl → Unsorted/
2026-08-21T06:47:33.891Z INFO  Moving: Chasme Right Wing Front.stl → Unsorted/
2026-08-21T06:47:33.902Z INFO  Moving: Chasme for Shapeways.stl → Unsorted/
2026-08-21T06:47:33.914Z INFO  Moving: Hezrou for Shapeways.stl → Unsorted/
2026-08-21T06:47:33.926Z INFO  Moving: Hezrou presupported.stl → Unsorted/
2026-08-21T06:47:33.937Z INFO  Moving: Hezrou.stl → Unsorted/
2026-08-21T06:47:33.950Z INFO  Moving: Shadow Demon Left Arm.stl → Fiend/Demon/
2026-08-21T06:47:33.961Z INFO  Moving: Shadow Demon Left Wing.stl → Fiend/Demon/
2026-08-21T06:47:33.973Z INFO  Moving: Shadow Demon Right Arm.stl → Fiend/Demon/
2026-08-21T06:47:33.985Z INFO  Moving: Shadow Demon Right Wing.stl → Fiend/Demon/
2026-08-21T06:47:33.996Z INFO  Moving: Shadow Demon body.stl → Fiend/Demon/
2026-08-21T06:47:34.008Z INFO  Moving: Shadow Demon for Shapeways.stl → Fiend/Demon/
2026-08-21T06:47:34.020Z INFO  Moving: Shadow demon presupported.stl → Fiend/Demon/
2026-08-21T06:47:34.031Z INFO  Moving: Shadow demon.stl → Fiend/Demon/
2026-08-21T06:47:34.042Z INFO  Moving: Large Creature Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:34.053Z INFO  Moving: Yochlol Fpr Sja[ewaus.stl → Unsorted/
2026-08-21T06:47:34.065Z INFO  Moving: Yochlol body.stl → Unsorted/
2026-08-21T06:47:34.075Z INFO  Moving: Yochlol left tenticle.stl → Aberration/
2026-08-21T06:47:34.087Z INFO  Moving: Yochlol presupported.stl → Unsorted/
2026-08-21T06:47:34.098Z INFO  Moving: Yochlol right  tenticle.stl → Aberration/
2026-08-21T06:47:34.110Z INFO  Moving: Yochlol.stl → Unsorted/
2026-08-21T06:47:34.122Z INFO  Moving: Erinyes Left Wing.stl → Fiend/Devil/
2026-08-21T06:47:34.134Z INFO  Moving: Erinyes Right Wing.stl → Fiend/Devil/
2026-08-21T06:47:34.146Z INFO  Moving: Erinyes body.stl → Fiend/Devil/
2026-08-21T06:47:34.158Z INFO  Moving: Erinyes updated presupported.stl → Fiend/Devil/
2026-08-21T06:47:34.169Z INFO  Moving: Erinyes updated.stl → Fiend/Devil/
2026-08-21T06:47:34.180Z INFO  Moving: Erinyes whole.stl → Fiend/Devil/
2026-08-21T06:47:34.192Z INFO  Moving: Erinyes.stl → Fiend/Devil/
2026-08-21T06:47:34.203Z INFO  Moving: Whip.stl → Unsorted/
2026-08-21T06:47:34.215Z INFO  Moving: Horned Devil Body.stl → Fiend/Demon/
2026-08-21T06:47:34.227Z INFO  Moving: Horned Devil Fork.stl → Fiend/Demon/
2026-08-21T06:47:34.240Z INFO  Moving: Horned Devil Left Wing.stl → Fiend/Demon/
2026-08-21T06:47:34.252Z INFO  Moving: Horned Devil Right Wing.stl → Fiend/Demon/
2026-08-21T06:47:34.263Z INFO  Moving: Horned Devil Tail.stl → Fiend/Demon/
2026-08-21T06:47:34.275Z INFO  Moving: Horned Devil for Shapewaysstl.stl → Fiend/Demon/
2026-08-21T06:47:34.287Z INFO  Moving: Horned Devil presupported.stl → Fiend/Demon/
2026-08-21T06:47:34.299Z INFO  Moving: Horned Devil.stl → Fiend/Demon/
2026-08-21T06:47:34.311Z INFO  Moving: Horned Devil Fork.stl → Fiend/Demon/
2026-08-21T06:47:34.322Z INFO  Moving: Large Creature Flying Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:34.332Z INFO  Moving: Large Creature Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:34.343Z INFO  Moving: Ice Devil Head.stl → Fiend/Demon/
2026-08-21T06:47:34.355Z INFO  Moving: Ice Devil Hips.stl → Fiend/Demon/
2026-08-21T06:47:34.367Z INFO  Moving: Ice Devil Left  Arm.stl → Fiend/Demon/
2026-08-21T06:47:34.379Z INFO  Moving: Ice Devil Left  Leg.stl → Fiend/Demon/
2026-08-21T06:47:34.391Z INFO  Moving: Ice Devil Legs.stl → Fiend/Demon/
2026-08-21T06:47:34.403Z INFO  Moving: Ice Devil Right Arm.stl → Fiend/Demon/
2026-08-21T06:47:34.415Z INFO  Moving: Ice Devil Right Tail.stl → Fiend/Demon/
2026-08-21T06:47:34.426Z INFO  Moving: Ice Devil Torso.stl → Fiend/Demon/
2026-08-21T06:47:34.438Z INFO  Moving: Ice Devil presupported.stl → Fiend/Demon/
2026-08-21T06:47:34.450Z INFO  Moving: Ice Devil rIGHT Leg.stl → Fiend/Demon/
2026-08-21T06:47:34.462Z INFO  Moving: Ice Devil spear.stl → Fiend/Demon/
2026-08-21T06:47:34.474Z INFO  Moving: Ice Devil.stl → Fiend/Demon/
2026-08-21T06:47:34.486Z INFO  Moving: Imp Shapeways.stl → Fiend/Devil/
2026-08-21T06:47:34.498Z INFO  Moving: Imp body.stl → Fiend/Devil/
2026-08-21T06:47:34.510Z INFO  Moving: Imp left wing.stl → Fiend/Devil/
2026-08-21T06:47:34.522Z INFO  Moving: Imp one piece.stl → Fiend/Devil/
2026-08-21T06:47:34.534Z INFO  Moving: Imp presupported.stl → Fiend/Devil/
2026-08-21T06:47:34.545Z INFO  Moving: Imp right wing.stl → Fiend/Devil/
2026-08-21T06:47:34.557Z INFO  Moving: Imp tail.stl → Fiend/Devil/
2026-08-21T06:47:34.568Z INFO  Moving: Lowpoly_scorpion.stl → Beast/
2026-08-21T06:47:34.579Z INFO  Moving: Lemure.stl → Unsorted/
2026-08-21T06:47:34.592Z INFO  Moving: Barbed Devi Taill.stl → Fiend/Devil/
2026-08-21T06:47:34.604Z INFO  Moving: Barbed DeviL fOR SHAPEWAYS.stl → Fiend/Demon/
